path,integration_action,source,remote_baseline_status,notes
ACP 4.0 whitepaper.pdf,preserved,remote-only,present,"Earlier whitepaper asset preserved."
ACP-ATP whitepaperv3.md,preserved,remote-only,present,"Earlier whitepaper preserved."
whitepaper.md,preserved,remote-only,present,"Earlier markdown whitepaper preserved."
acp-atp-demo.md,preserved,remote-only,present,"Earlier demo doc preserved."
demo.mp4,preserved,remote-only,present,"Earlier website/demo media preserved."
demo2.mp4,preserved,remote-only,present,"Existing hero media preserved."
graph_demo.html,preserved,remote-only,present,"Existing graph demo preserved."
agent.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
main.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
no_protection.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
registry.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
sandbox.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
scoring.py,preserved,remote-only,present,"Legacy ACP-ATP demo preserved."
README.md,modified,canonical+manual,present,"Public challenge/status links added without downgrading existing v0.1.1 text."
CHANGELOG.md,preserved,canonical,present,"Canonical v0.1.1 changelog preserved because source copy was older."
pyproject.toml,preserved,canonical,present,"Canonical dependency declaration preserved."
ACP-ATP-PATL 30-Day Breakthrough Sprint v0.1.md,added,completed local sprint source,absent,"Sprint source of truth added."
REPRODUCTION.md,added,completed local sprint source,absent,"External reproduction guide added."
challenge/README.md,added,completed local sprint source,absent,"Boundary Challenge entrypoint."
challenge/RULES.md,added,completed local sprint source,absent,"Challenge rules."
challenge/SAFETY_BOUNDARIES.md,added,completed local sprint source,absent,"Synthetic defensive boundary."
challenge/SCENARIOS.yaml,added,completed local sprint source,absent,"15 challenge scenarios."
challenge/BASELINE_RESULTS.json,added,completed local sprint source,absent,"Baseline 15/15 result."
challenge/SUBMISSION_TEMPLATE.md,added,completed local sprint source,absent,"Structured challenge result template."
challenge/RESPONSIBLE_DISCLOSURE.md,added+modified,completed local sprint source,absent,"Disclosure process strengthened for public release."
challenge/run_boundary_challenge.py,added,completed local sprint source,absent,"One-command challenge runner."
integrations/README.md,added,completed local sprint source,absent,"Integration package overview."
integrations/selected_framework/adapter.py,added,completed local sprint source,absent,"LangChain-style adapter boundary."
integrations/selected_framework/demo.py,added,completed local sprint source,absent,"Synthetic adapter demo."
integrations/selected_framework/configuration.example.yaml,added,completed local sprint source,absent,"Secret-free config example."
integrations/selected_framework/README.md,added,completed local sprint source,absent,"Adapter reproduction docs."
integrations/conformance/README.md,added,completed local sprint source,absent,"Conformance placeholder."
research/rdi/*,added,completed local sprint source,absent,"RDI charter, baseline, hypotheses, ledgers, decisions, negative results and checkpoints."
research/cases/PATL_CASE_001_OPENAI_HUGGINGFACE/*,added,completed local sprint source,absent,"Case Study 001 report and evidence files."
research/crosswalks/*,added,completed local sprint source,absent,"OWASP, NIST and CSA crosswalk drafts."
research/monthly/PATL_BREAKTHROUGH_REPORT_DAY30.md,added,completed local sprint source,absent,"Day 30 RDI report."
research/public/REPRODUCTION_REGISTER.csv,added,manual,absent,"Public reproduction register initialized with pending status."
research/public/FINDINGS_REGISTER.csv,added,manual,absent,"Public findings register initialized with no external findings."
research/public/INTEGRATION_REGISTER.csv,added,manual,absent,"Public integration register initialized with pending status."
content/case_001/*,added,completed local sprint source,absent,"Release articles and social drafts; not published."
content/outreach/*,added,completed local sprint source,absent,"Reviewer and standards drafts; not sent."
content/outreach/PATL_PUBLIC_RELEASE_OUTREACH_DRAFTS.md,added,manual,absent,"X, LinkedIn, reviewer and standards-community drafts; not sent."
docs/specs/*,updated,completed local sprint source,present,"PATL v0.1.1 specification updates."
docs/security/*,updated,completed local sprint source,present,"Threat model and adversarial test matrix updates."
docs/reports/*,updated+added,completed local sprint source+manual,present,"Validation, release checklist, status, matrix and release notes."
schemas/*,updated,completed local sprint source,present,"Schema/runtime alignment."
tests/test_enforcement.py,updated,completed local sprint source,present,"Authorization integrity closure tests."
tests/test_schema_files.py,updated,completed local sprint source,present,"Draft 2020-12 schema validation tests."
tests/test_demos.py,updated,completed local sprint source,present,"Demo expected decision tests."
tests/test_boundary_challenge.py,added,completed local sprint source,absent,"Boundary Challenge tests."
tests/test_integration_adapter.py,added,completed local sprint source,absent,"Adapter demo tests."
trust_layer/*,updated,completed local sprint source,present,"PATL v0.1.1 runtime, loader, fixtures and evidence chain."
.github/ISSUE_TEMPLATE/*,added,manual,absent,"Public feedback templates."
.github/workflows/validation.yml,added,manual,absent,"Synthetic secret-free CI."
SECURITY.md,added,manual,absent,"Responsible disclosure entrypoint."
index.html,modified,canonical+manual,present,"Visible Boundary Challenge section and links added."
